x,y
the explosion was the latest in series of bomb attacks in algeria 's four-year-old civil strife . ,"['DT', 'NN', 'VBD', 'DT', 'JJS', 'IN', 'NN', 'IN', 'NN', 'NNS', 'IN', 'NNP', 'POS', 'JJ', 'JJ', 'NN', '.']"
"the government-appointed watchdog , human rights national observatory , was quoted this month by local newspapers as saying about 1,400 civilians have died in bomb attacks blamed on moslem rebels in the past two years . ","['DT', 'JJ', 'NN', ',', 'NNP', 'NNP', 'NNP', 'NNP', ',', 'VBD', 'VBN', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'IN', 'VBG', 'RB', 'CD', 'NNS', 'VBP', 'VBN', 'IN', 'NN', 'NNS', 'VBN', 'IN', 'NNP', 'NNS', 'IN', 'DT', 'JJ', 'CD', 'NNS', '.']"
"an estimated 50,000 algerians and more than 110 foreigners have been killed in violence pitting moslem rebels against government forces since early 1992 , when the authorities cancelled a general election in which radical islamists had taken a commanding lead . ","['DT', 'VBN', 'CD', 'NNPS', 'CC', 'JJR', 'IN', 'CD', 'NNS', 'VBP', 'VBN', 'VBN', 'IN', 'NN', 'VBG', 'NNP', 'NNS', 'IN', 'NN', 'NNS', 'IN', 'JJ', 'CD', ',', 'WRB', 'DT', 'NNS', 'VBD', 'DT', 'JJ', 'NN', 'IN', 'WDT', 'JJ', 'NNS', 'VBD', 'VBN', 'DT', 'JJ', 'NN', '.']"
-docstart- ,['-X-']
malta police seize cannabis among chilli sauce . ,"['NNP', 'NN', 'VB', 'NNS', 'IN', 'JJ', 'NN', '.']"
valletta 1996-08-24 ,"['NNP', 'CD']"
police in malta said on saturday they had seized 7.5 tonnes of cannabis concealed in a shipment of chilli sauce on its way from singapore to romania . ,"['NN', 'IN', 'NNP', 'VBD', 'IN', 'NNP', 'PRP', 'VBD', 'VBN', 'CD', 'NNS', 'IN', 'NNS', 'VBN', 'IN', 'DT', 'NN', 'IN', 'NN', 'NN', 'IN', 'PRP$', 'NN', 'IN', 'NNP', 'TO', 'NNP', '.']"
police commissioner george grech said the cannabis was found on friday packed in 500 boxes hidden behind chilli sauce in a container that arrived at malta freeport a week ago . ,"['NNS', 'NN', 'NNP', 'NNP', 'VBD', 'DT', 'NN', 'VBD', 'VBN', 'IN', 'NNP', 'VBD', 'IN', 'CD', 'NNS', 'VBN', 'IN', 'JJ', 'NN', 'IN', 'DT', 'NN', 'WDT', 'VBD', 'IN', 'NNP', 'NNP', 'DT', 'NN', 'RB', '.']"
"the container was on its way to romania via the former yugoslavia from singapore and was the biggest drugs haul in malta , police said . ","['DT', 'NN', 'VBD', 'IN', 'PRP$', 'NN', 'TO', 'NNP', 'IN', 'DT', 'JJ', 'NNP', 'IN', 'NNP', 'CC', 'VBD', 'DT', 'JJS', 'NNS', 'NN', 'IN', 'NNP', ',', 'NNS', 'VBD', '.']"
no street value was given for the cannabis . ,"['DT', 'NN', 'NN', 'VBD', 'VBN', 'IN', 'DT', 'NN', '.']"
-docstart- ,['-X-']
czech coach in fatal crash in austria . ,"['JJ', 'NN', 'IN', 'JJ', 'NN', 'IN', 'NNP', '.']"
vienna 1996-08-24 ,"['NNP', 'CD']"
"a czech coach crashed and burst into flames on a southern austrian motorway early on saturday , killing one person and injuring 15 , police said . ","['DT', 'JJ', 'NN', 'VBD', 'CC', 'VBD', 'IN', 'NNS', 'IN', 'DT', 'JJ', 'JJ', 'NN', 'RB', 'IN', 'NNP', ',', 'VBG', 'CD', 'NN', 'CC', 'VBG', 'CD', ',', 'NNS', 'VBD', '.']"
"austrian television said the coach , which was carrying 45 , was en route from the czech republic to italy when the accident occurred near steinberg , 200 km southwest of vienna . ","['JJ', 'NN', 'VBD', 'DT', 'NN', ',', 'WDT', 'VBD', 'VBG', 'CD', ',', 'VBD', 'IN', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'TO', 'NNP', 'WRB', 'DT', 'NN', 'VBD', 'IN', 'NNP', ',', 'CD', 'NN', 'RB', 'IN', 'NNP', '.']"
-docstart- ,['-X-']
most spaniards back talks with basque rebels--poll . ,"['JJS', 'NNP', 'RB', 'VBZ', 'IN', 'JJ', 'NN', '.']"
madrid 1996-08-24 ,"['NNP', 'CD']"
"most spaniards would support government talks with the illegal basque separatist group eta if the rebels renounced violence permanently , a survey published in daily el mundo on saturday said . ","['JJS', 'NNS', 'MD', 'VB', 'NN', 'NNS', 'IN', 'DT', 'JJ', 'NNP', 'JJ', 'NN', 'NNP', 'IN', 'DT', 'NNS', 'VBD', 'NN', 'RB', ',', 'DT', 'NN', 'VBN', 'IN', 'JJ', 'NNP', 'NNP', 'IN', 'NNP', 'VBD', '.']"
"while 57 percent of the population supported negotiations with eta ( basque homeland and freedom ) , 30 percent opposed it , the survey by the state-controlled centre for sociological studies ( cis ) found . ","['IN', 'CD', 'NN', 'IN', 'DT', 'NN', 'VBD', 'NNS', 'IN', 'NNP', '(', 'NNP', 'NNP', 'CC', 'NNP', ')', ',', 'CD', 'NN', 'VBD', 'PRP', ',', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NNP', 'IN', 'NNP', 'NNP', '(', 'NNP', ')', 'VBD', '.']"
"but 80 percent said eta had shown little interest in achieving peace in the basque country when it offered a one-week truce in july while continuing to hold prison officer jose antonio ortega lara , kidnapped in january . ","['CC', 'CD', 'NN', 'VBD', 'NNP', 'VBD', 'VBN', 'JJ', 'NN', 'IN', 'VBG', 'NN', 'IN', 'DT', 'NNP', 'NN', 'WRB', 'PRP', 'VBD', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'IN', 'VBG', 'TO', 'VB', 'NN', 'NN', 'NNP', 'NNP', 'NNP', 'NNP', ',', 'VBN', 'IN', 'NNP', '.']"
"the problem of terrorism had neither worsened nor improved since the conservative popular party ( pp ) came to power in may , according to 56 percent of those questioned , while 22 percent said it had worsened . ","['DT', 'NN', 'IN', 'NN', 'VBD', 'RB', 'VBN', 'CC', 'VBD', 'IN', 'DT', 'JJ', 'NNP', 'NNP', '(', 'NNP', ')', 'VBD', 'TO', 'NN', 'IN', 'NNP', ',', 'VBG', 'TO', 'CD', 'NN', 'IN', 'DT', 'VBD', ',', 'IN', 'CD', 'NN', 'VBD', 'PRP', 'VBD', 'VBN', '.']"
"the survey questioned 2,496 people between july 17 and 21 and has a margin of error of plus or minus two percent . ","['DT', 'NN', 'VBD', 'CD', 'NNS', 'IN', 'NNP', 'CD', 'CC', 'CD', 'CC', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'IN', 'JJ', 'CC', 'CC', 'CD', 'NN', '.']"
-docstart- ,['-X-']
thirty killed as floods plunge lahore into chaos . ,"['CD', 'VBD', 'IN', 'NNS', 'NN', 'NNP', 'IN', 'NN', '.']"
islamabad 1996-08-24 ,"['NNP', 'CD']"
"at least 30 people have been killed and about 100 injured in the flood-hit pakistani city of lahore , newspapers reported on saturday . ","['IN', 'JJS', 'CD', 'NNS', 'VBP', 'VBN', 'VBN', 'CC', 'RB', 'CD', 'VBN', 'IN', 'DT', 'JJ', 'JJ', 'NN', 'IN', 'NNP', ',', 'NNS', 'VBN', 'IN', 'NNP', '.']"
"they said 461 mm ( 18 inches ) of rain had drenched the punjab provincial capital in 36 hours , turning streets into rivers , knocking out power , water and telephone services , disrupting air and rail traffic , and sweeping away houses and cars . ","['PRP', 'VBD', 'CD', 'NN', '(', 'CD', 'NNS', ')', 'IN', 'NN', 'VBD', 'VBN', 'DT', 'NNP', 'JJ', 'NN', 'IN', 'CD', 'NNS', ',', 'VBG', 'NNS', 'IN', 'NNS', ',', 'VBG', 'RP', 'NN', ',', 'NN', 'CC', 'NN', 'NNS', ',', 'VBG', 'NN', 'CC', 'NN', 'NN', ',', 'CC', 'JJ', 'RB', 'NNS', 'CC', 'NNS', '.']"
newspapers quoted witnesses as saying they had seen bodies floating in the streets . ,"['NNS', 'VBD', 'NNS', 'IN', 'VBG', 'PRP', 'VBD', 'VBN', 'NNS', 'VBG', 'IN', 'DT', 'NNS', '.']"
among the dead were five members of the religious jamaat-i-islami party who drowned while trying to remove books from a basement library . ,"['IN', 'DT', 'JJ', 'VBD', 'CD', 'NNS', 'IN', 'DT', 'JJ', 'JJ', 'NN', 'WP', 'VBD', 'IN', 'VBG', 'TO', 'VB', 'NNS', 'IN', 'DT', 'NN', 'NN', '.']"
"they said thousands of people had been made homeless after a breach opened in the city canal , inundating residential areas . ","['PRP', 'VBD', 'NNS', 'IN', 'NNS', 'VBD', 'VBN', 'VBN', 'JJ', 'IN', 'DT', 'NN', 'VBD', 'IN', 'DT', 'NN', 'NN', ',', 'VBG', 'JJ', 'NNS', '.']"
army troops were called in to evacuate residents of low-lying areas to higher ground . ,"['NN', 'NNS', 'VBD', 'VBN', 'RP', 'TO', 'VB', 'NNS', 'IN', 'JJ', 'NNS', 'TO', 'JJR', 'NN', '.']"
"officials said the ravi and chenab rivers , which both flow through punjab , were in high flood and emergency services backed by troops were on full alert . ","['NNS', 'VBD', 'DT', 'NNS', 'CC', 'NNP', 'NNS', ',', 'WDT', 'DT', 'NN', 'IN', 'NNP', ',', 'VBD', 'IN', 'JJ', 'NN', 'CC', 'NN', 'NNS', 'VBN', 'IN', 'NNS', 'VBD', 'IN', 'JJ', 'JJ', '.']"
-docstart- ,['-X-']
internet startup funded to develop java software . ,"['NNP', 'NNP', 'VBN', 'TO', 'VB', 'NNP', 'NN', '.']"
"mountain view , calif. 1996-08-25 ","['NNP', 'NNPS', ',', 'NNP', 'CD']"
"a small team of engineers from sun microsystems inc. 's javasoft unit said sunday they have formed a new company , dubbed internet startup , to build java infrastructure software . ","['DT', 'JJ', 'NN', 'IN', 'NNS', 'IN', 'NNP', 'NNPS', 'NNP', 'POS', 'NNP', 'NN', 'VBD', 'NNP', 'PRP', 'VBP', 'VBN', 'DT', 'JJ', 'NN', ',', 'VBD', 'NN', 'NNP', ',', 'TO', 'VB', 'NNP', 'NN', 'NN', '.']"
"the fledgling company , established in a ground-floor office here over the last two weeks , has received venture financing from bessemer venture partners of menlo park , calif .. ","['DT', 'NN', 'NN', ',', 'VBN', 'IN', 'DT', 'JJ', 'NN', 'RB', 'IN', 'DT', 'JJ', 'CD', 'NNS', ',', 'VBZ', 'VBN', 'NN', 'NN', 'IN', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'NNP', ',', 'NNP', 'NNS']"
"david cowan , internet startup founder and acting chief executive , is a general partner of bessemer . ","['NNP', 'NNP', ',', 'NNP', 'NNP', 'NN', 'CC', 'VBG', 'JJ', 'NN', ',', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NNP', '.']"
"the startup company 's acting chairman is jim bidzos , the president of rsa data security , a unit of security dynamics technologies inc. as well as chairman of verisign . ","['DT', 'NN', 'NN', 'POS', 'NN', 'NN', 'VBZ', 'NNP', 'NNP', ',', 'DT', 'NN', 'IN', 'NNP', 'NNP', 'NNP', ',', 'DT', 'NN', 'IN', 'NNP', 'NNPS', 'NNPS', 'NNP', 'RB', 'RB', 'IN', 'NN', 'IN', 'NNP', '.']"
"internet startup , which opened its doors with about half a dozen initial employees , combines experience at javasoft , apple computer inc. , and oracle systems . ","['NNP', 'NNP', ',', 'WDT', 'VBD', 'PRP$', 'NNS', 'IN', 'RB', 'PDT', 'DT', 'NN', 'JJ', 'NNS', ',', 'VBZ', 'NN', 'IN', 'NNP', ',', 'NNP', 'NNP', 'NNP', ',', 'CC', 'NNP', 'NNP', '.']"
""" java portends dramatic changes in the way we use the internet , "" said hong bui , vice president of engineering of the new company after serving as a senior engineer at javasoft . ","['""', 'NNP', 'VBZ', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'PRP', 'VBP', 'DT', 'NN', ',', '""', 'VBD', 'NNP', 'NNP', ',', 'NN', 'NN', 'IN', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'VBG', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NNP', '.']"
java is a computer programming language introduced by sun microsystems in mid-1995 which has immediately captured the attention of the industry for its ability to operate across virtually all computer system in a relatively secure manner . ,"['NNP', 'VBZ', 'DT', 'NN', 'NN', 'NN', 'VBN', 'IN', 'NNP', 'NNPS', 'IN', 'NN', 'WDT', 'VBZ', 'RB', 'VBD', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'PRP$', 'NN', 'TO', 'VB', 'IN', 'RB', 'DT', 'NN', 'NN', 'IN', 'DT', 'RB', 'VB', 'NN', '.']"
"just last week , sun microsystems and the silicon valley venture capital giant kleiner perkins caufield & byers said they had completed financing of a $ 100 million fund managed by kleiner perkins to fund startups developing java technologies . ","['RB', 'JJ', 'NN', ',', 'NNP', 'NNPS', 'CC', 'DT', 'NNP', 'NNP', 'NN', 'NN', 'NN', 'NNP', 'NNP', 'NNP', 'CC', 'NNPS', 'VBD', 'PRP', 'VBD', 'VBN', 'VBG', 'IN', 'DT', '$', 'CD', 'CD', 'NN', 'VBN', 'IN', 'NNP', 'NNP', 'TO', 'VB', 'NNS', 'VBG', 'NNP', 'NNS', '.']"
"java has been licensed by nearly 50 organisations , ranging from microsoft corp. and international business machines corp. to the taiwan government . ","['NNP', 'VBZ', 'VBN', 'VBN', 'IN', 'RB', 'CD', 'NNS', ',', 'VBG', 'IN', 'NNP', 'NNP', 'CC', 'NNP', 'NNP', 'NNPS', 'NNP', 'TO', 'DT', 'NNP', 'NN', '.']"
"prasad wagle , another former senior javasoft engineer who is among the founding engineers at internet startup , said the new company aims to build software infrastructure using java to make networked applications ubiquitious . ","['NNP', 'NNP', ',', 'DT', 'JJ', 'JJ', 'NNP', 'NN', 'WP', 'VBZ', 'IN', 'DT', 'VBG', 'NNS', 'IN', 'NNP', 'NNP', ',', 'VBD', 'DT', 'JJ', 'NN', 'VBZ', 'TO', 'VB', 'NN', 'NN', 'VBG', 'NNP', 'TO', 'VB', 'JJ', 'NNS', 'JJ', '.']"
"one feature of the java language is that small software programmes , known as "" applets "" because they are small applications , can be downloaded from the server computers at the centre of networks onto individual computers for use . ","['CD', 'NN', 'IN', 'DT', 'NNP', 'NN', 'VBZ', 'DT', 'JJ', 'NN', 'NNS', ',', 'VBN', 'IN', '""', 'NNS', '""', 'IN', 'PRP', 'VBP', 'JJ', 'NNS', ',', 'MD', 'VB', 'VBN', 'IN', 'DT', 'NN', 'NNS', 'IN', 'DT', 'NN', 'IN', 'NNS', 'IN', 'JJ', 'NNS', 'IN', 'NN', '.']"
"in this model , individual computer users can always gain access to the latest programmes and do not need to store more software than they are currently using on their computers at any one time , also saving costs of memory and storage . ","['IN', 'DT', 'NN', ',', 'JJ', 'NN', 'NNS', 'MD', 'RB', 'VB', 'NN', 'TO', 'DT', 'JJS', 'NNS', 'CC', 'VBP', 'RB', 'VB', 'TO', 'VB', 'JJR', 'NN', 'IN', 'PRP', 'VBP', 'RB', 'VBG', 'IN', 'PRP$', 'NNS', 'IN', 'DT', 'CD', 'NN', ',', 'RB', 'VBG', 'NNS', 'IN', 'NN', 'CC', 'NN', '.']"
"chris zuleeg , a veteran of apple and a former javasoft marketing manager , is vice president of marketing at internet startup , whose web site is www.internetstartup.com . ","['NNP', 'NNP', ',', 'DT', 'NN', 'IN', 'NNP', 'CC', 'DT', 'JJ', 'NNP', 'NN', 'NN', ',', 'VBZ', 'NN', 'NN', 'IN', 'NN', 'IN', 'NNP', 'NNP', ',', 'WP$', 'NNP', 'NN', 'VBZ', 'NN', '.']"
"bessemer has funded numerous internet pioneers , including psi net , verisign and individual . ","['NNP', 'VBZ', 'VBN', 'JJ', 'NN', 'NNS', ',', 'VBG', 'NNP', 'NNP', ',', 'NNP', 'CC', 'NNP', '.']"
-docstart- ,['-X-']
golf - mickelson wins fourth title of year in akron . ,"['NN', ':', 'NNP', 'VBZ', 'IN', 'DT', 'IN', 'NN', 'IN', 'NNP', '.']"
"akron , ohio 1996-08-25 ","['NNP', ',', 'NNP', 'CD']"
phil mickelson birdied two of the last three holes to win world series of golf by three strokes over billy mayfair on sunday . ,"['NNP', 'NNP', 'JJ', 'CD', 'IN', 'DT', 'JJ', 'CD', 'NNS', 'TO', 'VB', 'NNP', 'NNP', 'IN', 'NNP', 'IN', 'CD', 'NNS', 'IN', 'NNP', 'NNP', 'IN', 'NNP', '.']"
"it was the fourth tournament title this year for mickelson , who shot an even-par 70 , after being tied for the lead with billy mayfair with three holes to play . ","['PRP', 'VBD', 'DT', 'JJ', 'NN', 'NN', 'DT', 'NN', 'IN', 'NNP', ',', 'WP', 'VBD', 'DT', 'JJ', 'CD', ',', 'IN', 'VBG', 'VBN', 'IN', 'DT', 'NN', 'IN', 'NNP', 'NNP', 'IN', 'CD', 'NNS', 'TO', 'VB', '.']"
"along with mayfiar at 277 for the tournament were steve stricker , who had a 68 , and duffy waldorf , with a 66 . ","['IN', 'IN', 'NNP', 'IN', 'CD', 'IN', 'DT', 'NN', 'VBD', 'NNP', 'NNP', ',', 'WP', 'VBD', 'DT', 'CD', ',', 'CC', 'NNP', 'NNP', ',', 'IN', 'DT', 'CD', '.']"
""" it was very hard to sleep last night because there was so much i could accomplish with this win , "" said mickelson , who had a three-stroke lead entering the third round . "" ","['""', 'PRP', 'VBD', 'RB', 'JJ', 'TO', 'VB', 'JJ', 'NN', 'IN', 'EX', 'VBD', 'RB', 'RB', 'PRP', 'MD', 'VB', 'IN', 'DT', 'NN', ',', '""', 'VBD', 'NNP', ',', 'WP', 'VBD', 'DT', 'JJ', 'NN', 'VBG', 'DT', 'JJ', 'NN', '.', '""']"
"this was a win i wanted very , very much . "" ","['DT', 'VBD', 'DT', 'VBP', 'PRP', 'VBD', 'RB', ',', 'RB', 'RB', '.', '""']"
mickelson 's victory gave him a 10 year exemption to the pga tour . ,"['NNP', 'POS', 'NN', 'VBD', 'PRP', 'DT', 'CD', 'NN', 'NN', 'TO', 'DT', 'NNP', 'NNP', '.']"
"the $ 378,000 first place check brings mickelson back to the top of the money list with $ 1,574,799 won this year . ","['DT', '$', 'CD', 'JJ', 'NN', 'NN', 'VBZ', 'NNP', 'RB', 'TO', 'DT', 'NN', 'IN', 'DT', 'NN', 'NN', 'IN', '$', 'CD', 'VBD', 'DT', 'NN', '.']"
""" this is a major championship golf course , and for me to perform well on this style of course is a big step up for me in my career and my performance in future majors , "" he said . ","['""', 'DT', 'VBZ', 'DT', 'JJ', 'NN', 'NN', 'NN', ',', 'CC', 'IN', 'PRP', 'TO', 'VB', 'RB', 'IN', 'DT', 'NN', 'IN', 'NN', 'VBZ', 'DT', 'JJ', 'NN', 'RP', 'IN', 'PRP', 'IN', 'PRP$', 'NN', 'CC', 'PRP$', 'NN', 'IN', 'JJ', 'NNS', ',', '""', 'PRP', 'VBD', '.']"
"mickelson three-stroke lead was cut to two when mayfair birdied the course 's only easy hole , the par five second hole , while mickelson three-putted for par from 25 feet . ","['NNP', 'JJ', 'NN', 'VBD', 'VBN', 'TO', 'CD', 'WRB', 'NNP', 'VBD', 'DT', 'NN', 'POS', 'JJ', 'JJ', 'NN', ',', 'DT', 'NN', 'CD', 'JJ', 'NN', ',', 'IN', 'JJ', 'NN', 'IN', 'NN', 'IN', 'CD', 'NNS', '.']"
"on the back nine mickelson began driving erratically , and poor tee shots resulted in bogeys on the , eighth , 12th and 13th holes , bringing mickelson back to four under par , tied with mayfair , who had parred 14 straight holes after the birdie on no.2 . ","['IN', 'DT', 'JJ', 'CD', 'NNP', 'VBD', 'VBG', 'RB', ',', 'CC', 'JJ', 'NN', 'NNS', 'VBD', 'IN', 'NNS', 'IN', 'DT', ',', 'JJ', ',', 'JJ', 'CC', 'JJ', 'NNS', ',', 'VBG', 'JJ', 'NN', 'TO', 'CD', 'IN', 'NN', ',', 'VBN', 'IN', 'NN', ',', 'WP', 'VBD', 'VBN', 'CD', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'IN', 'CD', '.']"
"mickelson then set up a tap in birdie on the 16th , sending a wedge shot to 18 inches . ","['NNP', 'RB', 'VBN', 'RP', 'DT', 'NN', 'IN', 'NN', 'IN', 'DT', 'JJ', ',', 'VBG', 'DT', 'NN', 'NN', 'TO', 'CD', 'NNS', '.']"
"he had another birdie on the 17th , where he his a 6-iron to six feet . ","['PRP', 'VBD', 'DT', 'NN', 'IN', 'DT', 'JJ', ',', 'WRB', 'PRP', 'PRP$', 'DT', 'JJ', 'TO', 'CD', 'NNS', '.']"
"mayfair bogeyed the 17th , missing a five foot par putt , and dropped from solo second place to a three way tie for second . ","['NN', 'VBD', 'DT', 'JJ', ',', 'VBG', 'DT', 'CD', 'NN', 'NN', 'VBZ', ',', 'CC', 'VBD', 'IN', 'JJ', 'JJ', 'NN', 'TO', 'DT', 'CD', 'NN', 'NN', 'IN', 'NN', '.']"
it was the second successive year in which mayfair has finished runner up in this tournament . ,"['PRP', 'VBD', 'DT', 'JJ', 'JJ', 'NN', 'IN', 'WDT', 'NNP', 'VBZ', 'VBN', 'NN', 'IN', 'IN', 'DT', 'NN', '.']"
he lost to greg norman in sudden death last year . ,"['PRP', 'VBD', 'TO', 'NNP', 'NNP', 'IN', 'JJ', 'NN', 'JJ', 'NN', '.']"
"the defending champion was in contention , two behind mickelson for much of the day , until he bogeyed the 13th and 14th holes . ","['DT', 'VBG', 'NN', 'VBD', 'IN', 'NN', ',', 'CD', 'IN', 'NNP', 'IN', 'JJ', 'IN', 'DT', 'NN', ',', 'IN', 'PRP', 'VBD', 'DT', 'JJ', 'CC', 'JJ', 'NNS', '.']"
-docstart- ,['-X-']
golf - scores at the world series of golf . ,"['NN', ':', 'NNP', 'NNP', 'NNP', 'NN', 'NNS', 'IN', 'NN', '.']"
"akron , ohio 1996-08-24 ","['NNP', ',', 'NNP', 'CD']"
scores after the final ,"['NNS', 'IN', 'DT', 'JJ']"
round of the $ 2.1 million nec world series of golf at ,"['NN', 'IN', 'DT', '$', 'CD', 'CD', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'IN']"
"firestone c.c , 7149 yards , par 70 ( players u.s. unless noted ) : ","['NNP', 'NNP', ',', 'CD', 'NNS', ',', 'NN', 'CD', '(', 'NNS', 'NNP', 'IN', 'VBN', ')', ':']"
274 phil mickelson 70 66 68 70 ,"['CD', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD']"
"277 duffy waldorf 70 70 71 66 , steve stricker 68 72 69 68 , ","['CD', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD', ',']"
billy mayfair 66 71 70 70 ,"['NNP', 'NNP', 'CD', 'CD', 'CD', 'CD']"
278 greg norman ( australia ) 70 68 69 71 ,"['CD', 'NNP', 'NNP', '(', 'NNP', ')', 'CD', 'CD', 'CD', 'CD']"
"280 alexander cejka ( germany ) 72 71 71 66 , davis love 70 74 ","['CD', 'NNP', 'NNP', '(', 'NNP', ')', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', 'CD', 'CD']"
67 69 ,"['CD', 'CD']"
281 john cook 70 69 71 71 ,"['CD', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD']"
282 corey pavin 73 70 70 69 ,"['CD', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD']"
"283 tom lehman 72 69 74 68 , fred funk 72 70 73 68 , mark ","['CD', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD', ',', 'NNP']"
"brooks 69 69 74 71 , nick faldo ( britain ) 70 71 68 74 ","['NNP', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', '(', 'NNP', ')', 'CD', 'CD', 'CD', 'CD']"
"284 d.a. weibring 73 69 74 68 , tim herron 70 67 75 72 , mark ","['CD', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD', ',', 'NNP']"
"o'meara 73 71 69 71 , jim furyk 75 69 67 73 , justin leonard 69 ","['NNP', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', 'CD']"
70 71 74 ,"['CD', 'CD', 'CD']"
"285 loren roberts 72 73 71 69 , hal sutton 72 69 74 70 , fred ","['CD', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD', ',', 'NNP']"
"couples 73 68 72 72 , craig stadler 73 72 67 73 ","['NNS', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD']"
"286 hidemichi tanaka ( japan ) 66 75 75 70 , steve jones 70 69 ","['CD', 'NNP', 'NNP', '(', 'NNP', ')', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', 'CD', 'CD']"
"76 71 , paul goydos 66 75 74 71 , ernie els ( south africa ) 71 71 ","['CD', 'CD', ',', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', '(', 'NNP', 'NNP', ')', 'CD', 'CD']"
71 73 ,"['CD', 'CD']"
"287 costantino rocca ( italy ) 74 71 75 67 , clarence rose 72 71 ","['CD', 'NNP', 'NNP', '(', 'NNP', ')', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', 'CD', 'CD']"
"72 72 , craig parry ( australia ) 73 75 67 72 , willie wood 75 69 ","['CD', 'CD', ',', 'NNP', 'NNP', '(', 'NNP', ')', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', 'CD', 'CD']"
69 74 ,"['CD', 'CD']"
"288 shigeki maruyama ( japan ) 75 71 70 72 , anders forsbrand ( ","['CD', 'NNP', 'NNP', '(', 'NNP', ')', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', '(']"
sweden ) 70 75 71 72 ,"['NNP', ')', 'CD', 'CD', 'CD', 'CD']"
289 scott hoch 71 68 77 73 ,"['CD', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD']"
290 tom watson 79 70 68 73 ,"['CD', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD']"
"292 wayne westner ( south africa ) 77 68 73 74 , sven struver ( ","['CD', 'NNP', 'NNP', '(', 'NNP', 'NNP', ')', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', '(']"
germany ) 72 72 72 76 ,"['NNP', ')', 'CD', 'CD', 'CD', 'CD']"
"294 satoshi higashi ( japan ) 75 72 74 73 , scott mccarron 76 70 ","['CD', 'NNP', 'NNP', '(', 'NNP', ')', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', 'CD', 'CD']"
74 74 ,"['CD', 'CD']"
295 stewart ginn ( australia ) 73 72 77 73 ,"['CD', 'NNP', 'NNP', '(', 'NNP', ')', 'CD', 'CD', 'CD', 'CD']"
"298 steve schneiter 77 74 76 71 , paul stankowski 74 75 74 75 , ","['CD', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD', ',', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD', ',']"
seiki okuda ( japan ) 81 70 72 75 ,"['NNP', 'NNP', '(', 'NNP', ')', 'CD', 'CD', 'CD', 'CD']"
301 brad bryant 73 72 77 79 ,"['CD', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD']"
-docstart- ,['-X-']
tennis - results at hamlet cup . ,"['NNS', ':', 'NNP', 'NNP', 'NNP', 'NNP', '.']"
"commack , new york 1996-08-24 ","['NNP', ',', 'NNP', 'NNP', 'CD']"
results at the hamlet ,"['NNS', 'IN', 'DT', 'NNP']"
cup tennis tournament on sunday ( prefix number denotes ,"['NNP', 'NN', 'NN', 'IN', 'NNP', '(', 'JJ', 'NN', 'NNS']"
seedings : ,"['NNS', ':']"
"finals , singles ","['NNS', ',', 'VBZ']"
